kern_name,duration_ms,gridx,gridy,gridz,blkx,blky,blkz,reg_per_thread,shared_mem,sm_efficiency,achieved_occupancy,ipc,issued_ipc,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,issue_slot_utilization,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,dram_read_throughput,dram_write_throughput,tex_cache_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,cf_fu_utilization,tex_fu_utilization,ldst_fu_utilization,double_precision_fu_utilization,special_fu_utilization,single_precision_fu_utilization,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,dram_utilization,tex_utilization,shared_efficiency,shared_utilization,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,stall_memory_throttle,stall_not_selected,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,ecc_transactions,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,l2_tex_read_throughput,l2_tex_write_throughput,l2_tex_read_transactions,l2_tex_write_transactions,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,l2_utilization,l2_atomic_throughput,l2_atomic_transactions,sysmem_utilization,ecc_throughput,sysmem_read_utilization,sysmem_write_utilization,eligible_warps_per_cycle,flop_sp_efficiency,flop_dp_efficiency
sppostprocess2d_kernel,0.369442,65536.0,1.0,1.0,16.0,1.0,1.0,22.0,0.0,99.274566%,0.434246,1.835536,1.836482,89.594330,100.000000%,49.654206%,48.538062%,0.000065,43.333950%,0.000000,0.000000,0.000000,0.000000,0.000000,4.438417,0,0,0,0,0,590851,526302,525731,0.000000%,0.000000%,0.000000B/s,42.451546GB/s,0.000000B/s,47.841109GB/s,42.614527GB/s,42.568892GB/s,42.617321GB/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000%,88.734554%,526338,Low (1),Low (2),Low (1),Idle (0),Low (2),Mid (4),0,0,0,0,22019113,4194312,6291468,5241865,2095106,5871654,5871984,High (9),Low (1),0.000000%,Idle (0),18871329,0,55551023,1047553,1048576,4194312,10486795,0,5542254,197633,197633,1183748,397316,0,0.000000,1.759578%,16.918302%,71.200008%,0.000000%,0.000000%,2.620563%,0.111050%,0.824790%,3.252991%,3.312719%,0,5,588483,590857,0,0.000000%,25.120546%,10.546637%,25.265507%,47.646463GB/s,47.841109GB/s,588443,590851,47.649257GB/s,47.842041GB/s,0.000000B/s,0.000000B/s,Low (3),0.000000B/s,0,Low (1),0.000000B/s,Idle (0),Low (1),2.579743,2.669206%,0.000000%
sppostprocess2d_kernel,0.369665,32768.0,1.0,1.0,32.0,1.0,1.0,22.0,0.0,99.245709%,0.476512,0.921791,0.923009,90.188660,100.000000%,98.653985%,96.436410%,0.000111,21.780076%,0.000000,0.000000,0.000000,0.000000,0.000000,8.394246,0,0,0,0,0,567333,526309,524993,0.000000%,0.000000%,0.000000B/s,42.412430GB/s,0.000000B/s,45.894645GB/s,42.576343GB/s,42.469241GB/s,42.578205GB/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000%,92.412841%,526338,Low (1),Low (2),Low (1),Idle (0),Low (1),Low (2),0,0,0,0,22019113,4194312,6291468,5241865,2095106,2955302,2955630,High (9),Low (1),0.000000%,Idle (0),18871329,0,55551023,1047553,1048576,4194312,10486795,0,2789740,99329,99329,1118212,200708,0,0.000000,0.772509%,7.406226%,80.211389%,0.002171%,0.000000%,3.766676%,0.099636%,0.190187%,6.955348%,0.595857%,0,5,555573,567339,0,0.000000%,28.705558%,5.255602%,15.005989%,44.935383GB/s,45.894645GB/s,555483,567333,44.942833GB/s,45.894645GB/s,0.000000B/s,0.000000B/s,Low (3),0.000000B/s,0,Low (1),0.000000B/s,Idle (0),Low (1),1.046022,2.662936%,0.000000%
sppostprocess2d_kernel,0.370338,16384.0,1.0,1.0,64.0,1.0,1.0,22.0,0.0,99.172988%,0.865691,0.918677,0.916687,90.188660,100.000000%,98.653985%,96.436406%,0.000223,21.631053%,0.000000,0.000000,0.000000,0.000000,0.000000,8.394246,0,0,0,0,0,567333,526333,524357,0.000000%,0.000000%,0.000000B/s,42.227097GB/s,0.000000B/s,45.693479GB/s,42.391010GB/s,42.231753GB/s,42.391941GB/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000%,92.412841%,526338,Low (1),Low (2),Low (1),Idle (0),Low (1),Low (2),0,0,0,0,22019113,4194312,6291468,5241865,2095106,2955302,2955960,High (9),Low (1),0.000000%,Idle (0),18871329,0,55551023,1047553,1048576,4194312,10486795,0,2790070,99329,99329,1118212,200708,0,0.000000,0.436647%,4.923504%,52.220176%,0.761606%,0.000000%,16.805153%,0.086587%,0.139316%,24.112081%,0.514930%,0,5,546213,567339,0,0.000000%,29.257269%,3.603177%,15.707963%,44.126064GB/s,45.693479GB/s,547875,567333,43.992884GB/s,45.694411GB/s,0.000000B/s,0.000000B/s,Low (3),0.000000B/s,0,Low (1),0.000000B/s,Idle (0),Low (1),1.144447,2.651583%,0.000000%
sppostprocess2d_kernel,0.371009,8192.0,1.0,1.0,128.0,1.0,1.0,22.0,0.0,99.225546%,0.881141,0.918996,0.917352,90.188660,100.000000%,98.653985%,96.436408%,0.000250,21.646792%,0.000000,0.000000,0.000000,0.000000,0.000000,8.394246,0,0,0,0,0,567333,526339,524611,0.000000%,0.000000%,0.000000B/s,42.236410GB/s,0.000000B/s,45.703724GB/s,42.401254GB/s,42.262487GB/s,42.401254GB/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000%,92.412841%,526338,Low (1),Low (2),Low (1),Idle (0),Low (1),Low (2),0,0,0,0,22019113,4194312,6291468,5241865,2095106,2955302,2956041,High (9),Low (1),0.000000%,Idle (0),18871329,0,55551023,1047553,1048576,4194312,10486795,0,2790151,99329,99329,1118212,200708,0,0.000000,0.433442%,4.824158%,51.501643%,0.658906%,0.000000%,17.201229%,0.079577%,0.153607%,24.577794%,0.569644%,0,5,545865,567339,0,0.000000%,29.326955%,3.557842%,15.422851%,43.962151GB/s,45.703724GB/s,545710,567333,43.974258GB/s,45.704655GB/s,0.000000B/s,0.000000B/s,Low (3),0.000000B/s,0,Low (1),0.000000B/s,Idle (0),Low (1),1.180603,2.652395%,0.000000%
sppostprocess2d_kernel,0.369538,4096.0,1.0,1.0,256.0,1.0,1.0,22.0,0.0,99.053946%,0.833302,0.918933,0.917747,90.188660,100.000000%,98.653985%,96.436412%,0.000260,21.656119%,0.000000,0.000000,0.000000,0.000000,0.000000,8.394246,0,0,0,0,0,567333,526314,524664,0.000000%,0.000000%,0.000000B/s,42.301603GB/s,0.000000B/s,45.774505GB/s,42.465515GB/s,42.332336GB/s,42.467378GB/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000%,92.412841%,526338,Low (1),Low (2),Low (1),Idle (0),Low (1),Low (2),0,0,0,0,22019113,4194312,6291468,5241865,2095106,2955302,2956070,High (9),Low (1),0.000000%,Idle (0),18871329,0,55551023,1047553,1048576,4194312,10486795,0,2790180,99329,99329,1118212,200708,0,0.000000,0.492686%,4.745304%,54.491795%,0.208291%,0.000000%,15.681970%,0.098063%,0.271617%,23.014854%,0.995419%,0,5,543494,567339,0,0.000000%,29.474741%,3.142912%,15.441268%,43.842010GB/s,45.774505GB/s,543381,567333,43.851323GB/s,45.775436GB/s,0.000000B/s,0.000000B/s,Low (3),0.000000B/s,0,Low (1),0.000000B/s,Idle (0),Low (1),1.384790,2.650207%,0.000000%
sppostprocess2d_kernel,0.369121,2048.0,1.0,1.0,512.0,1.0,1.0,22.0,0.0,99.171104%,0.763614,1.008768,1.008280,90.188660,100.000000%,98.653985%,96.436409%,0.000260,23.792430%,0.000000,0.000000,0.000000,0.000000,0.000000,8.394246,0,0,0,0,0,567333,526307,524371,0.000000%,0.000000%,0.000000B/s,42.298809GB/s,0.000000B/s,45.771711GB/s,42.460859GB/s,42.304397GB/s,42.463653GB/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000%,92.412841%,526338,Low (1),Low (2),Low (1),Idle (0),Low (1),Low (3),0,0,0,0,22019113,4194312,6291468,5241865,2095106,2955302,2956070,High (9),Low (1),0.000000%,Idle (0),18871329,0,55551023,1047553,1048576,4194312,10486795,0,2790180,99329,99329,1118212,200708,0,0.000000,0.720731%,5.319501%,58.781297%,0.033397%,0.000000%,13.422743%,0.114556%,0.579288%,19.067465%,1.961022%,0,5,542303,567339,0,0.000000%,29.549443%,2.936427%,15.379753%,43.744221GB/s,45.771711GB/s,542206,567333,43.751672GB/s,45.771711GB/s,0.000000B/s,0.000000B/s,Low (3),0.000000B/s,0,Low (1),0.000000B/s,Idle (0),Low (1),1.868877,2.910863%,0.000000%
sppostprocess2d_kernel,0.369729,1024.0,1.0,1.0,1024.0,1.0,1.0,22.0,0.0,98.960685%,0.699720,0.920867,0.923086,90.188660,100.000000%,98.653985%,96.436409%,0.000260,21.782099%,0.000000,0.000000,0.000000,0.000000,0.000000,8.394246,0,0,0,0,0,567333,526309,523942,0.000000%,0.000000%,0.000000B/s,42.393804GB/s,0.000000B/s,45.874156GB/s,42.556785GB/s,42.364933GB/s,42.559579GB/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000%,92.412841%,526338,Low (1),Low (2),Low (1),Idle (0),Low (1),Low (2),0,0,0,0,22019113,4194312,6291468,5241865,2095106,2955302,2956070,High (9),Low (1),0.000000%,Idle (0),18871329,0,55551023,1047553,1048576,4194312,10486795,0,2790180,99329,99329,1118212,200708,0,0.000000,0.918643%,5.183249%,61.386857%,0.026900%,0.000000%,11.741171%,0.118893%,0.735727%,17.194633%,2.693928%,0,5,542245,567339,0,0.000000%,29.549538%,2.935879%,15.160924%,43.842010GB/s,45.874156GB/s,542205,567333,43.845735GB/s,45.875087GB/s,0.000000B/s,0.000000B/s,Low (3),0.000000B/s,0,Low (1),0.000000B/s,Idle (0),Low (1),2.046537,2.657424%,0.000000%
sppreprocess2d_kernel,0.367554,65536.0,1.0,1.0,16.0,1.0,1.0,21.0,0.0,99.250012%,0.438434,1.782306,1.780307,87.563049,100.000000%,49.664044%,48.522011%,0.000067,42.967002%,0.000000,0.000000,0.000000,0.000000,0.000000,4.438417,0,0,0,0,0,590851,526345,525727,0.000000%,0.000000%,0.000000B/s,42.147003GB/s,0.000000B/s,47.498383GB/s,42.312779GB/s,42.262487GB/s,42.311847GB/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000%,88.734554%,526338,Low (1),Low (2),Low (1),Idle (0),Low (2),Mid (4),0,0,0,0,15727645,8388624,2097156,3144709,2095106,5738532,5738916,High (9),Low (1),0.000000%,Idle (0),16774173,0,55551023,1047553,1048576,4194312,10486795,0,5540258,197633,197633,1183748,397316,0,0.000000,1.765488%,16.454118%,72.542855%,0.000000%,0.000000%,1.903648%,0.109535%,0.818235%,3.340690%,3.065431%,0,5,588578,590857,0,0.000000%,25.125753%,10.554242%,25.100914%,47.286041GB/s,47.498383GB/s,588209,590851,47.315843GB/s,47.498383GB/s,0.000000B/s,0.000000B/s,Low (3),0.000000B/s,0,Low (1),0.000000B/s,Idle (0),Low (1),2.503311,1.892745%,0.000000%
sppreprocess2d_kernel,0.361954,32768.0,1.0,1.0,32.0,1.0,1.0,21.0,0.0,99.218237%,0.476376,0.897670,0.899802,88.126099,100.000000%,98.693468%,96.423995%,0.000095,21.713378%,0.000000,0.000000,0.000000,0.000000,0.000000,8.393735,0,0,0,0,0,567299,526351,525196,0.000000%,0.000000%,0.000000B/s,42.335130GB/s,0.000000B/s,45.808963GB/s,42.501837GB/s,42.408705GB/s,42.500906GB/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000B/s,0.000000%,92.418460%,526338,Low (1),Low (2),Low (1),Idle (0),Low (1),Low (2),0,0,0,0,15727645,8388624,2097156,3144709,2095106,2887716,2887990,High (9),Low (1),0.000000%,Idle (0),16774173,0,55551023,1047553,1048576,4194312,10486795,0,2787636,99329,99329,1118212,200708,0,0.000000,0.762217%,7.239919%,81.898741%,0.000038%,0.000000%,3.097110%,0.094027%,0.221122%,6.096613%,0.590212%,0,5,555646,567305,0,0.000000%,28.709812%,5.258979%,15.033166%,44.845976GB/s,45.808963GB/s,555374,567299,44.867396GB/s,45.808963GB/s,0.000000B/s,0.000000B/s,Low (3),0.000000B/s,0,Low (1),0.000000B/s,Idle (0),Low (1),1.042429,1.899950%,0.000000%
